ID_Pasajero;Sobrevivio;Clase;Nombre;Genero;EstadoCivil;Edad;Hermanos/Conyuge;Padres/Hijos;Tiquete;Tarifa;Puerto
1;0;3;Braund, Mr. Owen Harris;Masculino;1;22;1;0;A/5 21171;7,25;S
2;1;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);Femenino;5;38;1;0;PC 17599;71,28;C
3;1;3;Heikkinen, Miss. Laina;Femenino;1;26;0;0;STON/O2. 3101282;7,93;S
4;1;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);Femenino;2;35;1;0;113803;53,10;S
5;0;3;Allen, Mr. William Henry;Masculino;4;35;0;0;373450;8,05;S
6;0;3;Moran, Mr. James;Masculino;5;23;0;0;330877;8,46;Q
7;0;1;McCarthy, Mr. Timothy J;Masculino;3;54;0;0;17463;51,86;S
8;0;3;Palsson, Master. Gosta Leonard;Masculino;1;;3;1;349909;21,08;S
9;1;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);Femenino;5;27;0;2;347742;11,13;S
10;1;2;Nasser, Mrs. Nicholas (Adele Achem);Femenino;1;14;1;0;237736;30,07;C
11;1;3;Sandstrom, Miss. Marguerite Rut;Femenino;1;4;1;1;PP 9549;16,70;S
12;1;1;Bonnell, Miss. Elizabeth;Femenino;3;58;0;0;113783;26,55;S
13;0;3;Saundercock, Mr. William Henry;Masculino;2;20;0;0;A/5. 2151;8,05;S
14;0;3;Andersson, Mr. Anders Johan;Masculino;4;39;1;5;347082;31,28;S
15;0;3;Vestrom, Miss. Hulda Amanda Adolfina;Femenino;1;14;0;0;350406;7,85;S
16;1;2;Hewlett, Mrs. (Mary D Kingcome) ;Femenino;5;55;0;0;248706;16,00;S
17;0;3;Rice, Master. Eugene;Masculino;1;2;4;1;382652;29,13;Q
18;1;2;Williams, Mr. Charles Eugene;Masculino;4;31;0;0;244373;13,00;S
19;0;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);Femenino;5;31;1;0;345763;18,00;S
20;1;3;Masselmani, Mrs. Fatima;Femenino;3;40;0;0;2649;7,23;C
21;0;2;Fynney, Mr. Joseph J;Masculino;2;35;0;0;239865;26,00;S
22;1;2;Beesley, Mr. Lawrence;Masculino;2;34;0;0;248698;13,00;S
23;1;3;"McGowan, Miss. Anna ""Annie""";Femenino;1;15;0;0;330923;8,03;Q
24;1;1;Sloper, Mr. William Thompson;Masculino;5;28;0;0;113788;35,50;S
25;0;3;Palsson, Miss. Torborg Danira;Femenino;1;8;3;1;349909;21,08;S
26;1;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);Femenino;2;38;1;5;347077;31,39;S
27;0;3;Emir, Mr. Farred Chehab;Masculino;1;15;0;0;2631;7,23;C
28;0;1;Fortune, Mr. Charles Alexander;Masculino;4;19;3;2;19950;263,00;S
29;1;3;"O'Dwyer, Miss. Ellen ""Nellie""";Femenino;2;20;0;0;330959;7,88;Q
30;0;3;Todoroff, Mr. Lalio;Masculino;5;19;0;0;349216;7,90;S
31;0;1;Uruchurtu, Don. Manuel E;Masculino;5;40;0;0;PC 17601;27,72;C
32;1;1;Spencer, Mrs. William Augustus (Marie Eugenie);Femenino;4;45;1;0;PC 17569;146,52;C
33;1;3;Glynn, Miss. Mary Agatha;Femenino;4;62;0;0;335677;7,75;Q
34;0;2;Wheadon, Mr. Edward H;Masculino;4;66;0;0;C.A. 24579;10,50;S
35;0;1;Meyer, Mr. Edgar Joseph;Masculino;5;28;1;0;PC 17604;82,17;C
36;0;1;Holverson, Mr. Alexander Oskar;Masculino;4;42;1;0;113789;52,00;S
37;1;3;Mamee, Mr. Hanna;Masculino;5;27;0;0;2677;7,23;C
38;0;3;Cann, Mr. Ernest Charles;Masculino;5;21;0;0;A./5. 2152;8,05;S
39;0;3;Vander Planke, Miss. Augusta Maria;Femenino;1;18;2;0;345764;18,00;S
40;1;3;Nicola-Yarred, Miss. Jamila;Femenino;1;14;1;0;2651;11,24;C
41;0;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);Femenino;5;40;1;0;7546;9,48;S
42;0;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);Femenino;1;27;1;0;11668;21,00;S
43;0;3;Kraeff, Mr. Theodor;Masculino;1;19;0;0;349253;7,90;C
44;1;2;Laroche, Miss. Simonne Marie Anne Andree;Femenino;1;3;1;2;SC/Paris 2123;41,58;C
45;1;3;Devaney, Miss. Margaret Delia;Femenino;5;19;0;0;330958;7,88;Q
46;0;3;Rogers, Mr. William John;Masculino;2;20;0;0;S.C./A.4. 23567;8,05;S
47;0;3;Lennon, Mr. Denis;Masculino;3;23;1;0;370371;15,50;Q
48;1;3;O'Driscoll, Miss. Bridget;Femenino;3;25;0;0;14311;7,75;Q
49;0;3;Samaan, Mr. Youssef;Masculino;1;64;2;0;2662;21,68;C
50;0;3;Arnold-Franchi, Mrs. Josef (Josefine Franchi);Femenino;1;18;1;0;349237;17,80;S
51;0;3;Panula, Master. Juha Niilo;Masculino;1;7;4;1;3101295;39,69;S
52;0;3;Nosworthy, Mr. Richard Cater;Masculino;5;21;0;0;A/4. 39886;7,80;S
53;1;1;Harper, Mrs. Henry Sleeper (Myna Haxtun);Femenino;5;49;1;0;PC 17572;76,73;C
54;1;2;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);Femenino;3;29;1;0;2926;26,00;S
55;0;1;Ostby, Mr. Engelhart Cornelius;Masculino;3;65;0;1;113509;61,98;C
56;1;1;Woolner, Mr. Hugh;Masculino;3;39;0;0;19947;35,50;S
57;1;2;Rugg, Miss. Emily;Femenino;5;21;0;0;C.A. 31026;10,50;S
58;0;3;Novel, Mr. Mansouer;Masculino;2;28;0;0;2697;7,23;C
59;1;2;West, Miss. Constance Mirium;Femenino;1;5;1;2;C.A. 34651;27,75;S
60;0;3;Goodwin, Master. William Frederick;Masculino;1;11;5;2;CA 2144;46,90;S
61;0;3;Sirayanian, Mr. Orsen;Masculino;5;22;0;0;2669;7,23;C
62;1;1;Icard, Miss. Amelie;Femenino;5;38;0;0;113572;80,00;S
63;0;1;Harris, Mr. Henry Birkhardt;Masculino;5;45;1;0;36973;83,48;S
64;0;3;Skoog, Master. Harald;Masculino;1;4;3;2;347088;27,90;S
65;0;1;Stewart, Mr. Albert A;Masculino;1;10;0;0;PC 17605;27,72;C
66;1;3;Moubarek, Master. Gerios;Masculino;1;15;1;1;2661;15,25;C
67;1;2;Nye, Mrs. (Elizabeth Ramell);Femenino;3;29;0;0;C.A. 29395;10,50;S
68;0;3;Crease, Mr. Ernest James;Masculino;4;19;0;0;S.P. 3464;8,16;S
69;1;3;Andersson, Miss. Erna Alexandra;Femenino;1;17;4;2;3101281;7,93;S
70;0;3;Kink, Mr. Vincenz;Masculino;1;26;2;0;315151;8,66;S
71;0;2;Jenkin, Mr. Stephen Curnow;Masculino;2;32;0;0;C.A. 33111;10,50;S
72;0;3;Goodwin, Miss. Lillian Amy;Femenino;1;16;5;2;CA 2144;46,90;S
73;0;2;Hood, Mr. Ambrose Jr;Masculino;5;21;0;0;S.O.C. 14879;73,50;S
74;0;3;Chronopoulos, Mr. Apostolos;Masculino;1;26;1;0;2680;14,45;C
75;1;3;Bing, Mr. Lee;Masculino;2;32;0;0;1601;56,50;S
76;0;3;Moen, Mr. Sigurd Hansen;Masculino;1;25;0;0;348123;7,65;S
77;0;3;Staneff, Mr. Ivan;Masculino;5;61;0;0;349208;7,90;S
78;0;3;Moutal, Mr. Rahamin Haim;Masculino;5;25;0;0;374746;8,05;S
79;1;2;Caldwell, Master. Alden Gates;Masculino;1;1;0;2;248738;29,00;S
80;1;3;Dowdell, Miss. Elizabeth;Femenino;2;30;0;0;364516;12,48;S
81;0;3;Waelens, Mr. Achille;Masculino;1;22;0;0;345767;9,00;S
82;1;3;Sheerlinck, Mr. Jan Baptist;Masculino;2;29;0;0;345779;9,50;S
83;1;3;McDermott, Miss. Brigdet Delia;Femenino;5;60;0;0;330932;7,79;Q
84;0;1;Carrau, Mr. Francisco M;Masculino;3;28;0;0;113059;47,10;S
85;1;2;Ilett, Miss. Bertha;Femenino;1;17;0;0;SO/C 14885;10,50;S
86;1;3;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);Femenino;4;33;3;0;3101278;15,85;S
87;0;3;Ford, Mr. William Neal;Masculino;1;16;1;3;W./C. 6608;34,38;S
88;0;3;Slocovski, Mr. Selman Francis;Masculino;3;41;0;0;SOTON/OQ 392086;8,05;S
89;1;1;Fortune, Miss. Mabel Helen;Femenino;4;23;3;2;19950;263,00;S
90;0;3;Celotti, Mr. Francesco;Masculino;2;24;0;0;343275;8,05;S
91;0;3;Christmann, Mr. Emil;Masculino;2;29;0;0;343276;8,05;S
92;0;3;Andreasson, Mr. Paul Edvin;Masculino;3;20;0;0;347466;7,85;S
93;0;1;Chaffee, Mr. Herbert Fuller;Masculino;4;46;1;0;W.E.P. 5734;61,18;S
94;0;3;Dean, Mr. Bertram Frank;Masculino;1;26;1;2;C.A. 2315;20,58;S
95;0;3;Coxon, Mr. Daniel;Masculino;4;59;0;0;364500;7,25;S
96;0;3;Shorney, Mr. Charles Joseph;Masculino;3;43;0;0;374910;8,05;S
97;0;1;Goldschmidt, Mr. George B;Masculino;2;71;0;0;PC 17754;34,65;C
98;1;1;Greenfield, Mr. William Bertram;Masculino;4;23;0;1;PC 17759;63,36;C
99;1;2;Doling, Mrs. John T (Ada Julia Bone);Femenino;2;34;0;1;231919;23,00;S
100;0;2;Kantor, Mr. Sinai;Masculino;4;34;1;0;244367;26,00;S
101;0;3;Petranec, Miss. Matilda;Femenino;3;28;0;0;349245;7,90;S
102;0;3;"Petroff, Mr. Pastcho (""Pentcho"")";Masculino;2;23;0;0;349215;7,90;S
103;0;1;White, Mr. Richard Frasar;Masculino;1;21;0;1;35281;77,29;S
104;0;3;Johansson, Mr. Gustaf Joel;Masculino;2;33;0;0;7540;8,65;S
105;0;3;Gustafsson, Mr. Anders Vilhelm;Masculino;5;37;2;0;3101276;7,93;S
106;0;3;Mionoff, Mr. Stoytcho;Masculino;3;28;0;0;349207;7,90;S
107;1;3;Salkjelsvik, Miss. Anna Kristine;Femenino;4;21;0;0;343120;7,65;S
108;1;3;Moss, Mr. Albert Johan;Masculino;4;;0;0;312991;7,78;S
109;0;3;Rekic, Mr. Tido;Masculino;2;38;0;0;349249;7,90;S
110;1;3;Moran, Miss. Bertha;Femenino;4;39;1;0;371110;24,15;Q
111;0;1;Porter, Mr. Walter Chamberlain;Masculino;5;47;0;0;110465;52,00;S
112;0;3;Zabour, Miss. Hileni;Femenino;1;15;1;0;2665;14,45;C
113;0;3;Barton, Mr. David John;Masculino;3;22;0;0;324669;8,05;S
114;0;3;Jussila, Miss. Katriina;Femenino;4;20;1;0;4136;9,83;S
115;0;3;Attalah, Miss. Malake;Femenino;1;17;0;0;2627;14,46;C
116;0;3;Pekoniemi, Mr. Edvard;Masculino;2;21;0;0;STON/O 2. 3101294;7,93;S
117;0;3;Connors, Mr. Patrick;Masculino;5;71;0;0;370369;7,75;Q
118;0;2;Turpin, Mr. William John Robert;Masculino;2;29;1;0;11668;21,00;S
119;0;1;Baxter, Mr. Quigg Edmond;Masculino;3;24;0;1;PC 17558;247,52;C
120;0;3;Andersson, Miss. Ellis Anna Maria;Femenino;1;2;4;2;347082;31,28;S
121;0;2;Hickman, Mr. Stanley George;Masculino;5;21;2;0;S.O.C. 14879;73,50;S
122;0;3;Moore, Mr. Leonard Charles;Masculino;4;42;0;0;A4. 54510;8,05;S
123;0;2;Nasser, Mr. Nicholas;Masculino;3;33;1;0;237736;30,07;C
124;1;2;Webber, Miss. Susan;Femenino;5;33;0;0;27267;13,00;S
125;0;1;White, Mr. Percival Wayland;Masculino;3;54;0;1;35281;77,29;S
126;1;3;Nicola-Yarred, Master. Elias;Masculino;1;12;1;0;2651;11,24;C
127;0;3;McMahon, Mr. Martin;Masculino;5;44;0;0;370372;7,75;Q
128;1;3;Madsen, Mr. Fridtjof Arne;Masculino;3;24;0;0;C 17369;7,14;S
129;1;3;Peter, Miss. Anna;Femenino;3;26;1;1;2668;22,36;C
130;0;3;Ekstrom, Mr. Johan;Masculino;1;45;0;0;347061;6,98;S
131;0;3;Drazenoic, Mr. Jozef;Masculino;3;33;0;0;349241;7,90;C
132;0;3;Coelho, Mr. Domingos Fernandeo;Masculino;3;20;0;0;SOTON/O.Q. 3101307;7,05;S
133;0;3;Robins, Mrs. Alexander A (Grace Charity Laury);Femenino;5;47;1;0;A/5. 3337;14,50;S
134;1;2;Weisz, Mrs. Leopold (Mathilde Francoise Pede);Femenino;1;29;1;0;228414;26,00;S
135;0;2;Sobey, Mr. Samuel James Hayden;Masculino;3;25;0;0;C.A. 29178;13,00;S
136;0;2;Richard, Mr. Emile;Masculino;4;23;0;0;SC/PARIS 2133;15,05;C
137;1;1;Newsom, Miss. Helen Monypeny;Femenino;1;19;0;2;11752;26,28;S
138;0;1;Futrelle, Mr. Jacques Heath;Masculino;1;37;1;0;113803;53,10;S
139;0;3;Osen, Mr. Olaf Elon;Masculino;1;16;0;0;7534;9,22;S
140;0;1;Giglio, Mr. Victor;Masculino;2;24;0;0;PC 17593;79,20;C
141;0;3;Boulos, Mrs. Joseph (Sultana);Femenino;4;26;0;2;2678;15,25;C
142;1;3;Nysten, Miss. Anna Sofia;Femenino;5;22;0;0;347081;7,75;S
143;1;3;Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);Femenino;2;24;1;0;STON/O2. 3101279;15,85;S
144;0;3;Burke, Mr. Jeremiah;Masculino;1;19;0;0;365222;6,75;Q
145;0;2;Andrew, Mr. Edgardo Samuel;Masculino;1;18;0;0;231945;11,50;S
146;0;2;Nicholls, Mr. Joseph Charles;Masculino;3;19;1;1;C.A. 33112;36,75;S
147;1;3;"Andersson, Mr. August Edvard (""Wennerstrom"")";Masculino;4;27;0;0;350043;7,80;S
148;0;3;"Ford, Miss. Robina Maggie ""Ruby""";Femenino;1;9;2;2;W./C. 6608;34,38;S
149;0;2;"Navratil, Mr. Michel (""Louis M Hoffman"")";Masculino;4;37;0;2;230080;26,00;S
150;0;2;Byles, Rev. Thomas Roussel Davids;Masculino;2;42;0;0;244310;13,00;S
151;0;2;Bateman, Rev. Robert James;Masculino;5;51;0;0;S.O.P. 1166;12,53;S
152;1;1;Pears, Mrs. Thomas (Edith Wearne);Femenino;5;22;1;0;113776;66,60;S
153;0;3;Meo, Mr. Alfonzo;Masculino;4;56;0;0;A.5. 11206;8,05;S
154;0;3;van Billiard, Mr. Austin Blyler;Masculino;4;41;0;2;A/5. 851;14,50;S
155;0;3;Olsen, Mr. Ole Martin;Masculino;1;32;0;0;Fa 265302;7,31;S
156;0;1;Williams, Mr. Charles Duane;Masculino;1;51;0;1;PC 17597;61,38;C
157;1;3;"Gilnagh, Miss. Katherine ""Katie""";Femenino;1;16;0;0;35851;7,73;Q
158;0;3;Corn, Mr. Harry;Masculino;5;30;0;0;SOTON/OQ 392090;8,05;S
159;0;3;Smiljanic, Mr. Mile;Masculino;1;44;0;0;315037;8,66;S
160;0;3;Sage, Master. Thomas Henry;Masculino;4;59;8;2;CA. 2343;69,55;S
161;0;3;Cribb, Mr. John Hatfield;Masculino;3;44;0;1;371362;16,10;S
162;1;2;"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";Femenino;3;40;0;0;C.A. 33595;15,75;S
163;0;3;Bengtsson, Mr. John Viktor;Masculino;5;26;0;0;347068;7,78;S
164;0;3;Calic, Mr. Jovo;Masculino;1;17;0;0;315093;8,66;S
165;0;3;Panula, Master. Eino Viljami;Masculino;1;1;4;1;3101295;39,69;S
166;1;3;"Goldsmith, Master. Frank John William ""Frankie""";Masculino;1;9;0;2;363291;20,53;S
167;1;1;Chibnall, Mrs. (Edith Martha Bowerman);Femenino;1;65;0;1;113505;55,00;S
168;0;3;Skoog, Mrs. William (Anna Bernhardina Karlsson);Femenino;1;45;1;4;347088;27,90;S
169;0;1;Baumann, Mr. John D;Masculino;1;35;0;0;PC 17318;25,93;S
170;0;3;Ling, Mr. Lee;Masculino;3;28;0;0;1601;56,50;S
171;0;1;Van der hoef, Mr. Wyckoff;Masculino;2;61;0;0;111240;33,50;S
172;0;3;Rice, Master. Arthur;Masculino;1;4;4;1;382652;29,13;Q
173;1;3;Johnson, Miss. Eleanor Ileen;Femenino;1;1;1;1;347742;11,13;S
174;0;3;Sivola, Mr. Antti Wilhelm;Masculino;5;21;0;0;STON/O 2. 3101280;7,93;S
175;0;1;Smith, Mr. James Clinch;Masculino;2;56;0;0;17764;30,70;C
176;0;3;Klasen, Mr. Klas Albin;Masculino;1;18;1;1;350404;7,85;S
177;0;3;Lefebre, Master. Henry Forbes;Masculino;3;29;3;1;4133;25,47;S
178;0;1;Isham, Miss. Ann Elizabeth;Femenino;4;50;0;0;PC 17595;28,71;C
179;0;2;Hale, Mr. Reginald;Masculino;5;30;0;0;250653;13,00;S
180;0;3;Leonard, Mr. Lionel;Masculino;5;36;0;0;LINE;0,00;S
181;0;3;Sage, Miss. Constance Gladys;Femenino;4;45;8;2;CA. 2343;69,55;S
182;0;2;Pernot, Mr. Rene;Masculino;3;40;0;0;SC/PARIS 2131;15,05;C
183;0;3;Asplund, Master. Clarence Gustaf Hugo;Masculino;1;9;4;2;347077;31,39;S
184;1;2;Becker, Master. Richard F;Masculino;1;1;2;1;230136;39,00;S
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;Femenino;1;4;0;2;315153;22,03;S
186;0;1;Rood, Mr. Hugh Roscoe;Masculino;1;49;0;0;113767;50,00;S
187;1;3;"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)";Femenino;1;10;1;0;370365;15,50;Q
188;1;1;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";Masculino;3;45;0;0;111428;26,55;S
189;0;3;Bourke, Mr. John;Masculino;2;40;1;1;364849;15,50;Q
190;0;3;Turcin, Mr. Stjepan;Masculino;5;36;0;0;349247;7,90;S
191;1;2;Pinsky, Mrs. (Rosa);Femenino;3;32;0;0;234604;13,00;S
192;0;2;Carbines, Mr. William;Masculino;4;19;0;0;28424;13,00;S
193;1;3;Andersen-Jensen, Miss. Carla Christine Nielsine;Femenino;1;19;1;0;350046;7,85;S
194;1;2;Navratil, Master. Michel M;Masculino;1;3;1;1;230080;26,00;S
195;1;1;Brown, Mrs. James Joseph (Margaret Tobin);Femenino;3;44;0;0;PC 17610;27,72;C
196;1;1;Lurette, Miss. Elise;Femenino;5;58;0;0;PC 17569;146,52;C
197;0;3;Mernagh, Mr. Robert;Masculino;1;34;0;0;368703;7,75;Q
198;0;3;Olsen, Mr. Karl Siegwart Andreas;Masculino;5;42;0;1;4579;8,40;S
199;1;3;"Madigan, Miss. Margaret ""Maggie""";Femenino;5;48;0;0;370370;7,75;Q
200;0;2;"Yrois, Miss. Henriette (""Mrs Harbeck"")";Femenino;4;24;0;0;248747;13,00;S
201;0;3;Vande Walle, Mr. Nestor Cyriel;Masculino;2;28;0;0;345770;9,50;S
202;0;3;Sage, Mr. Frederick;Masculino;1;16;8;2;CA. 2343;69,55;S
203;0;3;Johanson, Mr. Jakob Alfred;Masculino;1;34;0;0;3101264;6,50;S
204;0;3;Youseff, Mr. Gerious;Masculino;2;46;0;0;2628;7,23;C
205;1;3;"Cohen, Mr. Gurshon ""Gus""";Masculino;1;18;0;0;A/5 3540;8,05;S
206;0;3;Strom, Miss. Telma Matilda;Femenino;1;2;0;1;347054;10,46;S
207;0;3;Backstrom, Mr. Karl Alfred;Masculino;3;32;1;0;3101278;15,85;S
208;1;3;Albimona, Mr. Nassef Cassem;Masculino;2;26;0;0;2699;18,79;C
209;1;3;"Carr, Miss. Helen ""Ellen""";Femenino;1;16;0;0;367231;7,75;Q
210;1;1;Blank, Mr. Henry;Masculino;5;40;0;0;112277;31,00;C
211;0;3;Ali, Mr. Ahmed;Masculino;3;24;0;0;SOTON/O.Q. 3101311;7,05;S
212;1;2;Cameron, Miss. Clear Annie;Femenino;2;35;0;0;F.C.C. 13528;21,00;S
213;0;3;Perkin, Mr. John Henry;Masculino;2;22;0;0;A/5 21174;7,25;S
214;0;2;Givard, Mr. Hans Kristensen;Masculino;4;30;0;0;250646;13,00;S
215;0;3;Kiernan, Mr. Philip;Masculino;3;23;1;0;367229;7,75;Q
216;1;1;Newell, Miss. Madeleine;Femenino;5;31;1;0;35273;113,28;C
217;1;3;Honkanen, Miss. Eliina;Femenino;3;27;0;0;STON/O2. 3101283;7,93;S
218;0;2;Jacobsohn, Mr. Sidney Samuel;Masculino;1;42;1;0;243847;27,00;S
219;1;1;Bazzani, Miss. Albina;Femenino;2;32;0;0;11813;76,29;C
220;0;2;Harris, Mr. Walter;Masculino;4;30;0;0;W/C 14208;10,50;S
221;1;3;Sunderland, Mr. Victor Francis;Masculino;1;16;0;0;SOTON/OQ 392089;8,05;S
222;0;2;Bracken, Mr. James H;Masculino;5;27;0;0;220367;13,00;S
223;0;3;Green, Mr. George Henry;Masculino;5;51;0;0;21440;8,05;S
224;0;3;Nenkoff, Mr. Christo;Masculino;1;10;0;0;349234;7,90;S
225;1;1;Hoyt, Mr. Frederick Maxfield;Masculino;3;38;1;0;19943;90,00;S
226;0;3;Berglund, Mr. Karl Ivar Sven;Masculino;4;22;0;0;PP 4348;9,35;S
227;1;2;Mellors, Mr. William John;Masculino;5;19;0;0;SW/PP 751;10,50;S
228;0;3;"Lovell, Mr. John Hall (""Henry"")";Masculino;1;21;0;0;A/5 21173;7,25;S
229;0;2;Fahlstrom, Mr. Arne Jonas;Masculino;1;18;0;0;236171;13,00;S
230;0;3;Lefebre, Miss. Mathilde;Femenino;3;58;3;1;4133;25,47;S
231;1;1;Harris, Mrs. Henry Birkhardt (Irene Wallach);Femenino;1;35;1;0;36973;83,48;S
232;0;3;Larsson, Mr. Bengt Edvin;Masculino;4;29;0;0;347067;7,78;S
233;0;2;Sjostedt, Mr. Ernst Adolf;Masculino;2;59;0;0;237442;13,50;S
234;1;3;Asplund, Miss. Lillian Gertrud;Femenino;1;5;4;2;347077;31,39;S
235;0;2;Leyson, Mr. Robert William Norman;Masculino;3;24;0;0;C.A. 29566;10,50;S
236;0;3;Harknett, Miss. Alice Phoebe;Femenino;1;36;0;0;W./C. 6609;7,55;S
237;0;2;Hold, Mr. Stephen;Masculino;2;44;1;0;26707;26,00;S
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";Femenino;1;8;0;2;C.A. 31921;26,25;S
239;0;2;Pengelly, Mr. Frederick William;Masculino;1;19;0;0;28665;10,50;S
240;0;2;Hunt, Mr. George Henry;Masculino;5;33;0;0;SCO/W 1585;12,28;S
241;0;3;Zabour, Miss. Thamine;Femenino;3;26;1;0;2665;14,45;C
242;1;3;"Murphy, Miss. Katherine ""Kate""";Femenino;5;21;1;0;367230;15,50;Q
243;0;2;Coleridge, Mr. Reginald Charles;Masculino;2;29;0;0;W./C. 14263;10,50;S
244;0;3;Maenpaa, Mr. Matti Alexanteri;Masculino;5;22;0;0;STON/O 2. 3101275;7,13;S
245;0;3;Attalah, Mr. Sleiman;Masculino;3;30;0;0;2694;7,23;C
246;0;1;Minahan, Dr. William Edward;Masculino;2;44;2;0;19928;90,00;Q
247;0;3;Lindahl, Miss. Agda Thorilda Viktoria;Femenino;2;25;0;0;347071;7,78;S
248;1;2;Hamalainen, Mrs. William (Anna);Femenino;5;24;0;2;250649;14,50;S
249;1;1;Beckwith, Mr. Richard Leonard;Masculino;5;37;1;1;11751;52,55;S
250;0;2;Carter, Rev. Ernest Courtenay;Masculino;4;54;1;0;244252;26,00;S
251;0;3;Reed, Mr. James George;Masculino;3;51;0;0;362316;7,25;S
252;0;3;Strom, Mrs. Wilhelm (Elna Matilda Persson);Femenino;4;29;1;1;347054;10,46;S
253;0;1;Stead, Mr. William Thomas;Masculino;2;62;0;0;113514;26,55;S
254;0;3;Lobb, Mr. William Arthur;Masculino;2;30;1;0;A/5. 3336;16,10;S
255;0;3;Rosblom, Mrs. Viktor (Helena Wilhelmina);Femenino;5;41;0;2;370129;20,21;S
256;1;3;Touma, Mrs. Darwis (Hanne Youssef Razi);Femenino;2;29;0;2;2650;15,25;C
257;1;1;Thorne, Mrs. Gertrude Maybelle;Femenino;5;27;0;0;PC 17585;79,20;C
258;1;1;Cherry, Miss. Gladys;Femenino;3;30;0;0;110152;86,50;S
259;1;1;Ward, Miss. Anna;Femenino;3;35;0;0;PC 17755;512,33;C
260;1;2;Parrish, Mrs. (Lutie Davis);Femenino;4;;0;1;230433;26,00;S
261;0;3;Smith, Mr. Thomas;Masculino;5;20;0;0;384461;7,75;Q
262;1;3;Asplund, Master. Edvin Rojj Felix;Masculino;1;3;4;2;347077;31,39;S
